timestamp,PS_P-001,PE_P-001,T_P-001,H_P-001,PS_P-002,PE_P-002,T_P-002,H_P-002,PS_P-003,PE_P-003,T_P-003,H_P-003,PS_P-004,PE_P-004,T_P-004,H_P-004,PS_P-005,PE_P-005,T_P-005,H_P-005,PS_P-006,PE_P-006,T_P-006,H_P-006,PS_P-007,PE_P-007,T_P-007,H_P-007,PS_P-008,PE_P-008,T_P-008,H_P-008,PS_P-009,PE_P-009,T_P-009,H_P-009,PS_P-010,PE_P-010,T_P-010,H_P-010
2026-02-15 01:24:19,119.94,119.49,23.8,40.54,118.2,117.72,24.38,42.68,116.86,116.2,23.45,41.18,116.75,114.39,23.35,42.62,112.06,113.21,22.93,43.51,111.33,111.76,23.48,37.7,109.67,110.18,23.98,41.43,109.06,109.13,23.99,41.14,107.15,106.42,23.54,40.47,106.39,103.7,23.32,42.01
2026-02-15 01:24:20,120.29,118.09,24.18,40.23,119.09,118.78,23.69,40.17,117.53,115.22,23.1,42.35,114.83,114.38,24.19,40.84,114.01,113.49,24.11,39.84,111.5,112.5,23.79,43.94,110.61,109.28,23.7,40.64,109.64,109.69,23.55,39.55,107.64,107.31,23.92,40.42,106.19,105.54,24.37,42.9
2026-02-15 01:24:21,120.71,118.96,24.92,42.45,117.62,117.75,23.27,43.29,117.11,115.66,24.74,38.87,113.79,113.0,24.6,43.02,115.18,113.47,23.98,42.49,113.04,111.4,23.17,40.68,110.11,111.11,23.93,40.29,108.48,107.96,23.71,42.34,107.66,106.87,24.48,40.74,106.49,104.37,23.57,39.5
2026-02-15 01:24:22,120.63,118.96,23.03,42.65,117.58,117.13,25.18,38.16,115.59,116.03,23.54,42.83,114.36,114.45,23.7,43.86,113.43,112.75,24.11,40.4,112.21,110.64,24.1,41.26,110.46,109.04,23.85,41.23,110.45,108.21,23.66,40.53,108.26,106.49,24.04,43.86,107.46,104.93,24.41,41.67
2026-02-15 01:24:23,119.83,119.22,23.92,39.95,119.27,117.32,24.48,39.79,117.28,115.77,24.59,41.74,117.06,99.22,27.17,51.52,112.96,112.82,23.8,39.29,112.2,111.06,24.18,39.51,110.15,108.68,24.49,40.43,108.81,107.75,24.35,44.11,107.51,107.27,23.65,40.51,107.28,105.2,24.41,39.03
2026-02-15 01:24:24,119.8,118.41,22.55,40.67,117.68,117.19,24.32,41.61,115.71,115.68,24.39,40.25,114.63,99.48,25.85,53.51,113.06,113.38,23.84,40.68,111.86,111.97,23.65,42.97,111.86,109.86,23.71,44.81,110.24,108.19,23.31,42.28,108.0,106.99,23.09,39.39,104.7,105.45,24.54,40.79
2026-02-15 01:24:25,118.86,118.86,23.78,43.31,118.47,117.44,24.56,42.34,116.8,115.04,23.52,41.31,116.24,95.69,26.64,57.48,115.25,112.55,24.03,42.88,111.42,110.23,24.26,44.86,111.46,110.13,23.68,41.7,109.8,108.45,24.22,41.25,109.12,106.78,24.17,41.16,106.78,105.82,23.68,40.16
2026-02-15 01:24:26,120.07,119.62,24.35,40.81,118.78,116.47,23.5,42.05,116.44,116.0,24.83,42.37,113.92,94.36,29.66,46.19,113.46,113.86,23.94,41.99,113.08,111.29,23.86,43.29,112.53,110.56,24.61,42.23,109.9,107.58,23.65,41.76,107.71,107.07,23.58,42.88,106.44,105.31,23.62,40.68
2026-02-15 01:24:27,119.65,119.03,23.72,42.51,119.61,117.95,23.73,43.25,118.0,115.31,24.18,41.68,113.73,91.91,31.27,49.77,115.08,113.12,23.97,42.98,112.9,110.3,23.65,42.46,110.6,109.5,24.3,42.88,109.76,107.26,23.86,41.81,108.5,106.81,23.77,41.71,106.23,104.75,24.35,42.53
2026-02-15 01:24:28,120.23,119.23,24.23,41.13,118.13,117.09,24.42,42.81,117.1,116.64,24.27,42.29,116.16,105.2,31.27,54.76,114.17,112.81,24.37,42.02,111.79,111.66,23.69,40.0,110.36,109.93,23.58,41.21,110.47,107.76,23.88,43.13,108.71,106.81,24.45,42.85,104.83,104.99,23.53,37.74
2026-02-15 01:24:29,119.97,117.99,23.79,44.4,118.76,117.8,24.12,41.14,117.74,115.0,24.13,45.21,115.32,103.87,26.85,57.45,114.07,112.92,23.81,42.5,114.39,110.85,24.77,41.93,110.36,110.3,24.5,41.48,108.92,109.28,23.48,41.89,109.29,107.15,24.49,40.77,106.52,104.95,24.22,43.87
2026-02-15 01:24:30,118.48,119.03,24.35,40.12,118.31,117.45,24.25,45.57,117.62,115.66,24.12,38.78,115.41,100.6,28.01,53.93,113.22,112.18,24.32,42.83,110.88,110.68,23.31,41.4,109.95,109.11,24.06,45.48,109.66,108.46,23.79,41.1,108.13,106.07,24.43,39.81,106.89,104.68,23.87,41.05
2026-02-15 01:24:31,120.1,119.45,24.15,43.55,118.11,117.08,23.41,40.6,117.74,115.91,24.05,46.45,114.41,95.94,25.54,57.01,112.58,112.28,24.36,40.3,111.49,112.05,24.39,39.22,110.04,110.28,23.33,42.63,109.85,109.11,23.74,42.58,108.11,106.31,24.32,42.19,108.88,104.24,23.09,40.72
2026-02-15 01:24:32,120.54,118.62,23.44,41.03,118.06,117.58,23.53,44.72,118.19,116.77,23.58,41.19,115.22,97.25,30.11,58.87,115.18,112.77,23.75,42.09,112.58,110.99,24.06,40.08,111.24,109.51,24.07,44.37,110.43,108.61,24.61,42.11,108.5,107.61,26.03,44.06,105.41,105.21,24.53,40.74
2026-02-15 01:24:33,119.42,119.11,23.74,42.21,118.24,116.68,23.87,42.13,116.32,115.57,23.73,43.29,116.54,100.63,27.14,61.01,112.92,112.69,24.19,41.77,112.66,111.06,24.43,40.21,110.96,109.12,23.73,41.29,109.28,107.54,24.26,43.67,107.64,105.92,23.59,43.22,106.83,105.17,24.28,39.33
2026-02-15 01:24:34,122.51,118.87,24.93,42.1,118.39,118.29,24.22,40.12,117.02,114.78,24.59,41.19,114.12,102.54,29.85,46.92,115.39,113.06,24.32,42.94,111.66,111.67,23.63,44.53,110.97,110.4,24.38,40.82,109.27,109.83,24.4,40.19,107.81,106.93,24.38,41.78,107.25,105.15,24.04,43.27
2026-02-15 01:24:35,120.42,118.94,23.25,46.11,119.83,115.54,23.89,40.17,118.03,115.66,24.48,42.5,114.85,99.79,24.48,49.87,113.93,113.09,23.94,41.11,113.67,110.82,24.35,43.24,111.44,109.37,23.78,42.31,109.96,107.78,24.0,41.29,107.1,105.41,24.72,40.99,106.49,104.7,24.07,41.93
2026-02-15 01:24:36,119.87,118.8,24.04,44.28,117.31,117.73,24.14,39.76,115.6,115.48,23.63,43.4,113.87,99.08,28.67,48.51,112.71,113.73,23.87,41.71,112.76,111.52,24.24,41.1,111.96,109.31,24.69,41.78,109.36,107.88,24.85,38.49,107.72,106.1,24.57,40.1,106.66,104.6,24.24,39.67
2026-02-15 01:24:37,119.37,118.23,24.07,43.37,118.94,116.84,23.54,40.74,117.71,115.29,23.66,40.05,115.51,94.5,30.17,55.39,114.06,112.43,23.27,41.64,113.03,111.45,23.46,42.04,112.45,109.63,24.59,39.94,110.51,107.72,23.32,40.91,108.86,106.63,24.13,40.39,107.86,105.4,23.37,42.47
2026-02-15 01:24:38,120.1,118.64,24.4,45.59,118.16,116.85,24.66,40.73,116.02,116.37,23.95,43.63,115.95,101.14,29.63,61.17,113.88,113.21,23.84,41.24,112.15,110.78,24.41,40.22,111.12,110.04,23.59,39.94,109.07,108.13,23.5,43.63,106.67,106.57,23.79,44.38,105.51,105.85,23.54,41.97
2026-02-15 01:24:39,120.83,118.26,23.93,42.01,118.27,116.48,23.48,41.81,115.75,116.33,23.64,41.15,115.72,95.63,27.44,58.96,114.9,112.94,24.64,40.81,111.32,111.24,24.11,42.63,111.75,109.79,24.67,43.02,109.72,108.54,24.1,41.55,106.64,107.31,23.4,40.38,105.56,106.16,24.45,40.74
2026-02-15 01:24:40,121.57,119.51,24.23,43.74,119.74,117.18,23.84,42.58,116.42,116.51,24.22,43.01,113.61,105.02,27.23,57.17,113.29,111.53,24.18,43.06,112.05,111.92,24.42,42.49,110.78,108.98,23.74,45.5,109.49,108.4,23.28,42.71,107.47,106.05,23.66,38.37,106.87,105.23,24.16,40.39
2026-02-15 01:24:41,121.02,119.16,22.78,43.6,117.72,117.15,24.55,42.28,116.93,114.8,23.86,42.17,114.88,101.94,29.08,60.35,114.88,112.26,25.01,44.44,112.92,111.62,23.37,43.56,111.48,111.09,23.6,40.94,109.84,108.92,24.19,43.49,108.22,107.53,23.36,42.06,105.98,105.24,23.44,42.48
2026-02-15 01:24:42,120.81,119.28,23.94,42.45,118.36,117.2,24.08,40.47,116.32,116.28,24.16,38.72,114.84,97.0,28.58,57.88,114.61,112.72,24.49,44.54,112.63,111.87,24.9,42.6,110.86,109.82,24.33,42.29,109.41,108.63,23.58,39.89,107.64,106.33,23.24,44.3,106.5,105.17,23.31,40.28
2026-02-15 01:24:43,118.82,118.81,23.48,43.81,117.36,116.97,24.35,42.22,118.21,115.29,24.61,42.33,114.88,97.46,27.64,52.31,112.95,112.76,23.96,42.31,112.33,111.24,23.81,40.63,109.59,109.99,23.98,42.52,109.07,108.4,23.84,39.79,108.73,106.54,24.15,40.9,105.93,105.17,24.73,42.43
2026-02-15 01:24:44,120.8,116.99,23.86,41.46,119.07,118.02,22.94,45.39,116.81,115.66,23.95,41.89,116.12,96.07,30.42,56.77,114.82,112.69,23.49,41.25,111.83,111.83,23.59,39.77,109.67,108.74,23.79,41.84,109.04,109.03,23.28,45.14,107.74,106.56,24.34,39.31,106.37,105.22,24.03,39.91
2026-02-15 01:24:45,119.23,119.79,24.26,42.02,117.95,117.62,24.97,40.53,116.32,115.7,23.9,42.85,116.07,100.09,30.67,50.37,115.12,112.06,23.49,45.85,113.15,110.75,23.4,43.51,111.47,109.77,24.8,42.98,109.75,108.71,24.34,39.47,107.85,106.32,23.89,43.82,105.23,105.8,23.51,41.78
2026-02-15 01:24:46,120.34,119.57,24.64,42.44,118.78,117.2,24.02,39.82,116.05,116.06,23.12,43.82,114.97,114.57,23.61,42.64,114.4,112.78,24.17,43.63,112.78,111.54,23.25,43.17,111.18,110.59,24.03,41.22,109.18,108.58,23.5,44.1,107.59,107.18,24.23,42.75,104.7,104.22,23.79,43.58
2026-02-15 01:24:47,119.16,118.39,24.48,39.97,118.5,117.56,22.71,40.51,116.73,115.19,23.63,41.28,116.28,114.34,23.88,42.43,113.16,113.02,22.64,42.87,112.76,111.43,24.25,39.15,111.29,110.83,23.97,42.14,108.85,109.06,24.31,43.18,107.12,105.68,24.68,42.1,105.75,105.07,24.89,42.61
2026-02-15 01:24:48,118.85,118.75,24.55,41.91,118.97,117.34,24.43,41.4,115.75,115.42,25.24,41.63,114.0,114.52,23.99,41.26,114.12,112.47,23.27,40.36,111.83,111.74,23.49,43.69,111.93,108.98,23.91,41.28,109.45,108.64,25.08,41.0,108.65,87.93,27.47,57.71,107.09,104.92,25.02,38.95
2026-02-15 01:24:49,119.15,117.95,24.23,43.46,118.77,116.59,23.85,42.4,116.24,116.12,24.08,41.78,115.19,113.81,24.27,42.49,113.72,114.56,24.39,41.16,113.44,110.55,24.09,41.12,110.46,110.5,24.11,42.98,109.36,108.04,23.68,42.61,106.5,88.15,24.66,54.96,105.04,104.54,24.36,40.6
2026-02-15 01:24:50,120.13,119.24,24.41,38.62,118.38,117.89,24.22,40.03,116.57,116.97,23.95,43.68,114.24,114.52,23.86,42.39,114.31,112.2,23.63,42.2,111.84,111.21,24.03,40.38,110.69,109.4,23.69,43.0,108.37,109.96,22.91,43.39,109.07,87.27,26.72,53.44,106.13,105.01,24.71,42.77
2026-02-15 01:24:51,117.84,118.86,23.98,43.15,119.16,117.03,24.55,41.83,117.53,115.31,24.6,43.09,115.67,114.64,24.02,41.77,114.36,111.65,23.73,44.19,112.36,112.11,23.98,42.86,110.44,110.83,23.08,42.7,108.06,107.94,23.92,43.67,107.57,88.56,28.87,62.87,105.62,105.67,25.06,41.72
2026-02-15 01:24:52,119.32,118.44,24.31,43.02,119.11,118.54,24.1,41.03,116.85,115.95,23.83,44.16,116.69,113.41,23.39,42.81,115.4,112.11,23.46,38.65,112.28,111.84,24.38,42.31,111.09,108.94,24.89,42.08,108.25,107.94,24.26,41.57,108.8,94.53,29.33,50.79,106.76,104.24,23.72,43.57
